College Code,College Name
C560,CONSTITUENT COLEGE OF VTU U B D T COLLEGE OF ENGINEERING DAVANAGERE 
C561,DAVANGERE UNIVERSITY SHIVAGANGOTRI DAVANAGERE 
C562,DEPARTMENT OF COMPUTER SCIENCE AKKAMAHADEVI WOMEN'S UNIVERSITY VIJAYAPURA 
C563,DEPARTMENT OF MCA KARNATAK UNIVERSITY DHARWAD 
C564,DEPARTMENT OF MCA KUVEMPU UNIVERSITY SHANKARGHATTA SHIMOGA 
C565,DEPARTMENT OF PG STUDIES AND RESEARCH IN COMPUTER SCIENCE MANGALORE UNIVERSITY MANGALAGANGOTRI MANGALORE
C566,DEPARTMENT OF STUDIES AND RESEARCH IN COMPUTER APPLICATION TUMKUR UNIVERSIT TUMKUR 
C567,EAST POINT COLLEGE OF HIGHER EDUCATION JNANA PRABHA CAMPUS BIDARAHALLI VIRGONAGAR POST 
C568,GM UNIVESITY KARUR VILLAGE KASABA HOBLI DAVANGERE TALUK AND D 
C569,GS COLLEGE OF MANAGEMENT 
C570,GURU NANAK DEV ENGINEERING COLLEGE BIDAR MAILOOR ROAD BIDAR 
C571,MAHARANI'S CLUSTER UNIVERSITY BANGALORE 
C572,NAGARJUNA DEGREE COLLEGE 
C573,PARIVARTHANA BUSINESS SCHOOL PARIVARTHANA BUSINESS SCHOOL PLOT NO 
C574,POORNAPRAJNA INSTITUTE OF MANAGEMENT POORNAPRAJNA CAMPUS UDUPI 
C575,PRESIDENCY UNIVESITY ITTAGALPURA RAJANAKUNTE YELAHANKA 
C576,RV INSTITUTE OF TECHNOLOGY AND MANAGEMENT KOTHANUR 
C577,SESHADRIPURAM COLLEGE NO 
C578,SESHADRIPURAM COLLEGE TUMAKURU VIKASABHARATI CAMPUS GANGASANDRA ROAD KALPATHA 
C579,ST PHILOMENA'S COLLEGE BANNIMANTAP MYSORE 
C580,VTU POST GRADUATE CENTER AND SKILL DEVELOPMENT CENTER TALAKAL VTU PG CENTER AND SKILL DEVELOPMENT CENTER TALAKA 
